Adams,5879,2301,219,152
Antelope,1834,630,47,18
Arthur,144,29,5,2
Banner,249,31,4,4
Blaine,147,24,31,1
Boone,1643,466,80,15
Box Butte,2037,830,86,45
Boyd,707,206,17,13
Brown,880,176,49,18
Buffalo,9889,2148,1054,157
Burt,1812,930,58,27
Butler,2369,600,77,51
Cass,6029,2197,201,108
Cedar,1916,1060,37,40
Chase,1201,125,46,24
Cherry,3046,614,189,56
Cheyenne,2225,492,70,40
Clay,1663,375,58,39
Colfax,1403,505,38,22
Cuming,2128,662,48,25
Custer,2501,410,1236,58
Dakota,2182,1333,98,63
Dawes,1889,653,74,53
Dawson,4191,932,314,74
Deuel,555,90,30,15
Dixon,1280,597,30,23
Dodge,7297,2826,214,102
Douglas,73982,52609,2305,907
Dundy,591,69,18,14
Fillmore,1630,588,53,31
Franklin,1078,187,69,18
Frontier,803,116,31,15
Furnas,1341,213,43,63
Gage,4685,2323,217,86
Garden,508,84,33,8
Garfield,557,125,32,14
Gosper,542,110,67,23
Grant,199,53,18,3
Greeley,556,230,28,6
Hall,9127,4023,429,200
Hamilton,2841,622,111,59
Harlan,1072,197,41,30
Hayes,399,33,21,4
Hitchcock,972,141,34,17
Holt,2663,916,65,49
Hooker,212,44,33,5
Howard,1452,546,51,40
Jefferson,1818,665,63,26
Johnson,1079,531,31,25
Kearney,2035,359,162,26
Keith,2075,357,133,37
Keya Paha,313,53,5,7
Kimball,965,168,35,28
Knox,2097,922,99,50
Lancaster,43906,36538,2835,1318
Lincoln,7694,2443,366,115
Logan,290,40,21,3
Loup,230,52,33,2
Madison,6438,2607,176,88
McPherson,190,40,11,7
Merrick,2197,540,93,42
Morrill,1241,235,35,16
Nance,816,317,28,12
Nemaha,1699,548,74,41
Nuckolls,1175,278,48,26
Otoe,3811,1368,136,68
Pawnee,785,275,13,16
Perkins,862,128,45,6
Phelps,2716,472,146,42
Pierce,1843,445,45,24
Platte,7251,1713,198,84
Polk,1382,318,52,14
Red Willow,2922,437,97,46
Richardson,1884,589,45,38
Rock,496,101,23,9
Saline,2125,1312,93,33
Sarpy,30081,13055,820,379
Saunders,5148,1864,164,87
Scotts Bluff,7045,2187,278,112
Seward,3861,1368,194,69
Sheridan,1451,206,47,23
Sherman,891,293,97,15
Sioux,433,72,7,7
Stanton,1253,424,33,22
Thayer,1476,421,53,24
Thomas,246,46,16,5
Thurston,710,657,26,17
Valley,1209,345,60,16
Washington,5089,1610,128,57
Wayne,1729,863,48,40
Webster,948,299,18,22
Wheeler,307,76,16,6
York,3350,766,258,127